date,btcClose,ethClose,adaClose
2015-03-23,266.73999,,
2015-03-24,245.59500099999997,,
2015-03-25,246.19700600000002,,
2015-03-26,248.531998,,
2015-03-27,247.02900699999998,,
2015-03-28,252.798004,,
2015-03-29,242.71299700000003,,
2015-03-30,247.52600099999998,,
2015-03-31,244.22399900000002,,
2015-04-01,247.27200299999998,,
2015-04-02,253.00500499999998,,
2015-04-03,254.32200600000002,,
2015-04-04,253.69700600000002,,
2015-04-05,260.597992,,
2015-04-06,255.492004,,
2015-04-07,253.17999300000002,,
2015-04-08,245.02200299999998,,
2015-04-09,243.67599500000003,,
2015-04-10,236.07200600000002,,
2015-04-11,236.55200200000002,,
2015-04-12,236.153,,
2015-04-13,224.587006,,
2015-04-14,219.15899700000003,,
2015-04-15,223.83299300000002,,
2015-04-16,228.57299799999998,,
2015-04-17,222.882004,,
2015-04-18,223.356003,,
2015-04-19,222.600006,,
2015-04-20,224.626007,,
2015-04-21,235.268997,,
2015-04-22,234.17599500000003,,
2015-04-23,236.462006,,
2015-04-24,231.268005,,
2015-04-25,226.38999900000002,,
2015-04-26,219.42999300000002,,
2015-04-27,229.285995,,
2015-04-28,225.854996,,
2015-04-29,225.80799900000002,,
2015-04-30,236.145004,,
2015-05-01,232.07899500000002,,
2015-05-02,234.92999300000002,,
2015-05-03,240.358002,,
2015-05-04,239.018005,,
2015-05-05,236.121002,,
2015-05-06,229.781998,,
2015-05-07,237.334,,
2015-05-08,243.86300699999998,,
2015-05-09,241.832001,,
2015-05-10,240.29600499999998,,
2015-05-11,242.15800499999997,,
2015-05-12,241.112,,
2015-05-13,236.376999,,
2015-05-14,236.92900099999997,,
2015-05-15,237.604996,,
2015-05-16,236.153,,
2015-05-17,236.80200200000002,,
2015-05-18,233.128006,,
2015-05-19,231.94700600000002,,
2015-05-20,234.018005,,
2015-05-21,235.34399399999998,,
2015-05-22,240.348007,,
2015-05-23,238.871994,,
2015-05-24,240.95300299999997,,
2015-05-25,237.11000099999998,,
2015-05-26,237.11599700000002,,
2015-05-27,237.28300499999997,,
2015-05-28,237.40800499999997,,
2015-05-29,237.09599300000002,,
2015-05-30,233.34500099999997,,
2015-05-31,230.190002,,
2015-06-01,222.92599500000003,,
2015-06-02,225.80299399999998,,
2015-06-03,225.873993,,
2015-06-04,224.32400499999997,,
2015-06-05,224.951996,,
2015-06-06,225.619003,,
2015-06-07,222.880997,,
2015-06-08,228.488998,,
2015-06-09,229.048004,,
2015-06-10,228.80299399999998,,
2015-06-11,229.705002,,
2015-06-12,229.981995,,
2015-06-13,232.401993,,
2015-06-14,233.542999,,
2015-06-15,236.82299799999998,,
2015-06-16,250.895004,,
2015-06-17,249.28399700000003,,
2015-06-18,249.007004,,
2015-06-19,244.606003,,
2015-06-20,245.212006,,
2015-06-21,243.944,,
2015-06-22,246.99000499999997,,
2015-06-23,244.29600499999998,,
2015-06-24,240.51499900000002,,
2015-06-25,242.798996,,
2015-06-26,243.59399399999998,,
2015-06-27,250.99000499999997,,
2015-06-28,249.011002,,
2015-06-29,257.06399500000003,,
2015-06-30,263.071991,,
2015-07-01,258.621002,,
2015-07-02,255.41200299999997,,
2015-07-03,256.335999,,
2015-07-04,260.885986,,
2015-07-05,271.91299399999997,,
2015-07-06,269.02999900000003,,
2015-07-07,266.207001,,
2015-07-08,270.785004,,
2015-07-09,269.227997,,
