date,open,high,low,close,volume,go_up
2021-07-13,33125.46875,33327.101563,32261.419922000005,32702.025391000003,19120856669,False
2021-07-14,32723.845702999995,33061.398438,31639.125,32822.347656,21376531210,True
2021-07-15,32827.875,33159.640625,31175.708983999997,31780.730469,21300524237,False
2021-07-16,31841.550781,32218.40625,31100.673827999995,31421.539063,23699476918,False
2021-07-17,31397.308594,31935.945313,31223.990233999997,31533.068358999997,18895018942,True
2021-07-18,31533.884766000003,32398.996094,31215.492188,31796.810547000005,18787986667,True
2021-07-19,31800.011719,31885.859375,30563.734375,30817.832031,20434789545,False
2021-07-20,30838.285156,31006.1875,29360.955077999995,29807.347656,23148267245,False
2021-07-21,29796.285156,32752.326172000005,29526.183594,32110.693358999997,28203024559,True
2021-07-22,32138.873047000005,32576.400391000003,31745.298827999995,32313.105469,19555230518,True
2021-07-23,32305.958983999997,33581.550781,32057.892577999995,33581.550781,22552046192,True
2021-07-24,33593.730469,34490.390625,33424.859375,34292.445313,21664706865,True
2021-07-25,34290.292969,35364.925781,33881.835938,35350.1875,20856685287,True
2021-07-26,35384.03125,40499.675781,35287.3125,37337.535156,51022126212,True
2021-07-27,37276.035156,39406.941406,36441.726563,39406.941406,35097370560,True
2021-07-28,39503.1875,40816.070313,38862.4375,39995.90625,38702404695,True
2021-07-29,39995.453125,40593.070313,39352.058594,40008.421875,27167146027,True
2021-07-30,40027.484375,42235.546875,38397.355469,42235.546875,33072782960,True
2021-07-31,42196.304688,42231.449219,41110.832031,41626.195313,25802845343,False
2021-08-01,41460.84375,42541.679688,39540.941406,39974.894531,26688438115,False
2021-08-02,39907.261719,40419.179688,38746.347656,39201.945313,25595265436,False
2021-08-03,39178.402344,39750.03125,37782.050781,38152.980469,26189830450,False
2021-08-04,38213.332031,39952.296875,37589.164063,39747.503906,25372562724,True
2021-08-05,39744.515625,41341.933594,37458.003906,40869.554688,35185031017,True
2021-08-06,40865.867188,43271.660156,39932.179688,42816.5,38226483046,True
2021-08-07,42832.796875,44689.859375,42618.566406,44555.800781,40030862141,True
2021-08-08,44574.4375,45282.351563,43331.910156,43798.117188,36302664750,False
2021-08-09,43791.925781,46456.832031,42848.6875,46365.402344,38734079049,True
2021-08-10,46280.847656,46637.988281,44705.554688,45585.03125,33546019517,False
2021-08-11,45599.703125,46735.632813,45351.710938,45593.636719,34319709073,True
2021-08-12,45576.878906,46228.910156,43861.445313,44428.289063,33723620826,False
2021-08-13,44439.691406,47831.976563,44282.417969,47793.320313,31744259539,True
2021-08-14,47810.6875,48098.683594,46177.632813,47096.945313,31211354442,False
2021-08-15,47096.667969,47357.105469,45579.589844,47047.003906,30988958446,False
2021-08-16,47019.960938,47998.097656,45700.320313,46004.484375,32776876610,False
2021-08-17,45936.457031,47139.570313,44512.417969,44695.359375,33451362600,False
2021-08-18,44686.75,45952.0625,44364.027344,44801.1875,32194123075,True
2021-08-19,44741.882813,46970.761719,43998.316406,46717.578125,37204312299,True
2021-08-20,46723.121094,49342.152344,46650.707031,49339.175781,34706867452,True
2021-08-21,49327.074219,49717.019531,48312.199219,48905.492188,40585205312,False
2021-08-22,48869.105469,49471.609375,48199.941406,49321.652344,25370975378,True
2021-08-23,49291.675781,50482.078125,49074.605469,49546.148438,34305053719,True
2021-08-24,49562.347656,49878.769531,47687.117188,47706.117188,35361168834,False
2021-08-25,47727.257813,49202.878906,47163.613281,48960.789063,32646349931,True
2021-08-26,49002.640625,49347.582031,46405.78125,46942.21875,32666549568,False
2021-08-27,46894.554688,49112.785156,46394.28125,49058.667969,34511076995,True
2021-08-28,49072.585938,49283.503906,48499.238281,48902.402344,28568103401,False
2021-08-29,48911.25,49644.113281,47925.855469,48829.832031,25889650240,False
2021-08-30,48834.851563,48925.605469,46950.273438,47054.984375,31847007016,False
2021-08-31,47024.339844,48189.550781,46750.09375,47166.6875,34730363427,True
2021-09-01,47099.773438,49111.089844,46562.4375,48847.027344,39139399125,True
