date,adaClose
2021-07-13,1.265083
2021-07-14,1.262258
2021-07-15,1.223192
2021-07-16,1.173715
2021-07-17,1.172302
2021-07-18,1.183698
2021-07-19,1.121116
2021-07-20,1.056291
2021-07-21,1.1680979999999999
2021-07-22,1.186161
2021-07-23,1.206307
2021-07-24,1.2334969999999998
2021-07-25,1.228501
2021-07-26,1.258493
2021-07-27,1.278446
2021-07-28,1.283504
2021-07-29,1.284084
2021-07-30,1.3089520000000001
2021-07-31,1.322345
2021-08-01,1.3177299999999998
2021-08-02,1.310068
2021-08-03,1.365026
2021-08-04,1.376564
2021-08-05,1.3861450000000002
2021-08-06,1.401786
2021-08-07,1.470677
2021-08-08,1.42783
2021-08-09,1.47764
2021-08-10,1.672566
2021-08-11,1.798038
2021-08-12,1.8238779999999999
2021-08-13,2.136079
2021-08-14,2.191687
2021-08-15,2.1691529999999997
2021-08-16,2.079417
2021-08-17,1.9266009999999998
2021-08-18,2.1085599999999998
2021-08-19,2.42814
2021-08-20,2.457702
2021-08-21,2.435435
2021-08-22,2.713725
2021-08-23,2.917386
2021-08-24,2.721091
2021-08-25,2.738132
2021-08-26,2.535528
2021-08-27,2.944197
2021-08-28,2.84749
2021-08-29,2.855986
2021-08-30,2.73316
2021-08-31,2.772475
2021-09-01,2.870767
